name,text,tags
Genndy Tartakovsky,"Genndy Tartakovsky stylized animation, Samurai Jack flat geometric design, bold negative-space silhouettes, painterly background card, cinematic widescreen panel",style
Powerpuff Girls 90s,"Cartoon Network 90s style, McCracken Powerpuff angular geometric design, flat color blocks, thick black ink contours, neon palette",style
Pixar 3D,"Pixar 3D animation, subsurface-scattering skin, soft global illumination, expressive caricatured proportions, warm cinematic palette, polished hero render",style
Aardman Stop-Motion,"Aardman stop-motion clay animation, visible thumbprints in plasticine, oversized hand-built sets, soft warm studio lighting, gappy-tooth grin, charming British texture",style
Tim Burton Stop-Motion,"Tim Burton stop-motion style, Nightmare Before Christmas spider-leg figures, monochrome with single saturated accent, gothic fairy-tale architecture, wide stitched-on eyes",style
Spider-Verse Hybrid,"Spider-Verse hybrid 2D-3D animation, halftone Ben-Day dot overlay, color-fringe chromatic aberration, comic panel split-screen energy, mixed render styles per character",style
Arcane Painterly 3D,"Arcane painterly 3D animation, Fortiche brush-textured shaders, hand-painted skin tones over 3D forms, theatrical lighting, gem-cut palette",style
Film Noir,"film noir cinematography, low-key black-and-white lighting, venetian-blind shadows striping the frame, fedora silhouette, smoke haze, dramatic Dutch angle",style
Italian Neorealism,"Italian neorealism cinematography, on-location streets of postwar Italy, natural light, working-class subject, grainy black-and-white film stock, documentary immediacy",style
Wes Anderson,"Wes Anderson cinematography style, dead-center symmetry, pastel color-coordinated set, doll-house composition, slow-zoom tableau, retro-quirky props",style
Wong Kar-wai,"Wong Kar-wai cinematography, smeared step-printed motion blur, saturated red-yellow neon, intimate hallway compositions, melancholic Hong Kong nightscape",style
Roger Deakins,"Roger Deakins cinematography, painterly natural light, deep widescreen depth, single-source key lighting, cool blue shadow with warm key, restrained palette",style
Ansel Adams Landscape,"Ansel Adams large-format black-and-white landscape, Zone System full tonal range, granite and snow detail, dramatic Sierra cumulus, silver-gelatin print",style
Avedon Portrait,"Richard Avedon white-seamless studio portrait, sharp uncompromising frontal lighting, every pore rendered, no retouching, neutral expression psychological intensity",style
Helmut Newton High Contrast,"Helmut Newton high-contrast fashion photography, hard noon sun on a Mediterranean balcony, glossy magazine palette, statuesque composition, cool detached glamour",style
Polaroid SX-70 Dreamy,"Polaroid SX-70 instant photo, soft milky color cast, slight vignette, subtle blue cast in shadows and warm cast in highlights, scratched-up white plastic frame implied, 1970s domestic intimacy",style
Lomography Toy Camera,"Lomography toy-camera photo, heavy vignette and chromatic aberration, cross-processed punchy color, light-leak streaks, square 6x6 frame, retro-analog imperfection",style
Daguerreotype,"Daguerreotype mid-19th-century photo, mirror-polished silver plate substrate, cool spectral tone, ornate brass frame implied, formal Victorian sitter, surreal stillness",style
Tintype Wet-Plate,"Tintype wet-plate photo, distressed metal substrate, sharp center fading to soft edges, reversed tonal map, Civil War-era sitter implied, grainy chemical texture",style
Cyanotype Blueprint,"Cyanotype contact print, Prussian-blue field with white silhouette, botanical specimen flatness, sun-exposed paper texture, 19th-century scientific aesthetic",style
Syd Mead Sci-Fi,"Syd Mead concept art, polished hi-fi futurism, sleek hovering vehicles, sweeping concrete megastructure, atmospheric haze, Blade Runner sensibility",style
McQuarrie Star Wars,"Ralph McQuarrie Star Wars concept art, painterly gouache, twin-sun desert palette, bulky lived-in spacecraft, matte-painting horizon",style
Frazetta Heroic Fantasy,"Frank Frazetta heroic fantasy painting, muscular barbarian silhouette against stormy sky, hot ochre-and-blood palette, painterly crosshatched shadow, pulpy 70s paperback cover",style
Brom Dark Fantasy,"Brom dark fantasy oil painting, gothic horror sensibility, dense moody palette of bone and oxblood, ornate macabre detail, elegant tortured figures",style
Yoshitaka Amano Ethereal,"Yoshitaka Amano ethereal painterly style, watercolor washes drifting into emptiness, slender androgynous figure, fairy-tale European costume, gold ink accents",style
James Gurney Naturalist,"James Gurney Dinotopia naturalist illustration, plein-air-feeling oil rendering, golden-hour light through ancient architecture, integrated dinosaur and human figures",style
Beksinski Nightmare,"Zdzislaw Beksinski nightmare painting, post-apocalyptic skeletal architecture, blood-orange dust haze, cold dread, no human presence, dreamlike grand scale",style
HR Giger Biomechanical,"HR Giger biomechanical surrealism, integrated wet metal and bone, grub-like ribbed surfaces, monochrome bone-and-chrome palette, claustrophobic mechanism dread",style
Stalenhag Nostalgic Sci-Fi,"Simon Stålenhag nostalgic sci-fi painting, 1980s Scandinavian suburb with looming alien machinery in the field, melancholy lonely child witnessing it, overcast drained palette",style
Octane Hyperreal 3D,"Octane render hyperreal 3D, perfect subsurface scattering, polished glass and chrome materials, HDRI environment lighting, ray-traced global illumination, artstation cover quality",style
Unreal 5 Real-Time,"Unreal Engine 5 real-time render, Lumen global illumination, Nanite micro-detail, photogrammetric materials, cinematic letterbox crop, contemporary game-engine fidelity",style
Voxel Crossy Road,"voxel art, Crossy Road style, blocky chunky 3D pixels, isometric or 3/4 angle, candy palette, soft shadow, charming low-detail charm",style
Low-Poly PS1,"low-poly PlayStation 1 era 3D, vertex-snapping wobble, untextured flat-shaded triangles, muddy 256-color palette, fog distance falloff, retro-game blocky charm",style
Glitch Datamosh,"glitch art, datamosh corruption sweeps, smeared I-frame replacement, broken pixel sorting, color-channel shifts, digital decay aesthetic",style
ASCII Art,"ASCII art rendering, monospace character density mapped to luminance, terminal green-on-black or amber-on-black, retro phreaker BBS aesthetic",style
Cyberpunk Neon Noir,"cyberpunk neon-noir, rain-slick neon-saturated city street, holographic pink and cyan billboards, smoky alleyway, retrofitted future aesthetic, Blade Runner / GitS sensibility",style
Solarpunk Optimist,"solarpunk illustration, sun-drenched city integrated with abundant greenery, art nouveau organic curves, warm hopeful palette, communal garden architecture",style
Steampunk Victorian,"steampunk Victorian, polished brass and rivets, exposed gears and steam pipes, sepia-and-amber palette, gas-lit interior, ornate goggles and corsetry",style
Dieselpunk Industrial,"dieselpunk 1940s industrial, riveted steel zeppelins, art-deco machinery, soot-stained palette, art-noir war propaganda sensibility",style
Atompunk Atomic,"atompunk 1950s atomic-age retro-futurism, sleek finned rocket cars, googie diner architecture, optimistic atom-icon graphics, mid-century palette",style
Vaporwave,"vaporwave aesthetic, broken Roman bust on a magenta-cyan grid, palm tree and Pepsi logo Greek pillar mashup, washed-out VHS palette, dreamy ironic nostalgia",style
Synthwave,"synthwave illustration, neon magenta-and-cyan grid receding to horizon, retro chrome sun, palm-tree silhouette, 1980s digital-future palette",style
Outrun Chrome Sunset,"outrun aesthetic, chromed sports car silhouette racing into a dual-magenta-orange sunset, neon highway grid, 1980s arcade-cabinet palette",style
Cottagecore,"cottagecore illustration, English countryside cottage with thatched roof, hand-knit shawl, kettle steaming, dappled meadow light, sage-and-cream palette",style
Dark Academia,"dark academia, candlelit oak library, leather-bound tomes, brass desk lamp, oxblood-and-tweed palette, gothic university atmosphere",style
Y2K Glossy,"Y2K aesthetic, frosted translucent plastic, chrome typography, electric-blue and silver palette, late-90s techno-optimism, iridescent metallic finish",style
Frutiger Aero,"Frutiger Aero 2000s glossy, glassy water-droplet UI elements, sky-blue sky and grass background, wet-look skeumorphic icons, optimistic post-millennial palette",style
Memphis 80s Pattern,"Memphis Group 1980s design, asymmetric mash of squiggle and grid patterns, loud primary clashing palette, postmodern playful chaos, chunky geometric shapes",style
Brutalist Concrete,"brutalist architectural style, raw board-formed concrete monolith, harsh overhead sun shadow, sparse human figure for scale, austere cool grey",style
Art Deco,"Art Deco 1920s style, gilded sunburst pattern, geometric stepped forms, ivory-and-black-and-gold palette, jazz-age opulence, streamlined modernity",style
Mid-Century Modern,"mid-century modern illustration, Eames-era furniture, atomic starburst pattern, mustard-teal-orange palette, cleanly graphic flat color, 1960s magazine aesthetic",style
Oil Impasto,"oil paint thick impasto, ridged palette-knife texture catching the light, alla prima brushwork, mineral-pigment palette, museum-canvas surface",style
Watercolor Wet-on-Wet,"watercolor wet-on-wet bleeding, soft-edge color halos, granulating pigment pooling, hot-pressed paper, transparent layered washes, casual notebook spontaneity",style
Gouache Flat,"gouache illustration, opaque flat-matte color application, slightly chalky surface, designer's gouache palette, no transparent layers, mid-century book illustration sensibility",style
Sumi-e Ink Wash,"ink wash painting, single tapered horsehair brush stroke from black to translucent grey, generous empty paper, calligraphic restraint",style
Charcoal Drawing,"charcoal drawing on toned grey paper, smudged sweeping shadow shapes, white-chalk highlight accents, gestural mark-making, classical atelier figure-study sensibility",style
Pastel Soft,"soft pastel painting on grey toned paper, chalky velvety surface, sfumato blending with stumps, Degas-inspired backstage palette",style
Oil Pastel,"oil pastel drawing, waxy buttery strokes, color blended with finger smudge, raw board substrate showing through, naive bold palette",style
Fresco Plaster,"fresco painting on lime plaster, chalky muted earth palette, faint cracking and patina, intonaco surface texture, ancient wall preservation feel",style
Egg Tempera,"egg tempera painting, pre-Renaissance flat-matte luminous color, fine cross-hatched detail, gold-ground halo, devotional stillness",style
Encaustic Wax,"encaustic hot-wax painting, layered translucent wax with pigment, fused melted surface, soft textured glow, Jasper Johns sensibility",style
Linocut,"linocut print, bold black ink on cream paper, chunky knife-cut white shapes, simplified high-contrast composition, hand-pulled press texture",style
Woodblock Western,"Western-style woodcut print, Albrecht Dürer cross-hatched detail, ink-on-cream paper, dense linework with restrained tonal range",style
Screen-Print Poster,"screen-print poster, layered registration of flat opaque color planes, halftone dot in highlight transitions, slight ink-bleed at edges, gig-poster sensibility",style
Risograph 2-Color,"Risograph print, two-color overprint with off-register halftone, fluorescent pink and teal layered, cheap newsprint paper, indie-zine aesthetic",style
Etching Crosshatch,"copperplate etching, fine cross-hatched ink linework, plate-tone sepia in midtones, plate edge embossment on the paper, Old-Master print sensibility",style
Lithograph Stone,"stone lithograph print, soft tonal range, slightly tooth-textured paper, plate-tone neutral grey, French belle-epoque poster sensibility",style
Mexican Muralism,"Mexican muralism style, Diego Rivera monumental composition, flattened simplified figure, earthy ochre-and-brick palette, working-class collective heroism",style
Día de los Muertos,"Día de los Muertos calavera illustration, sugar-skull face paint, marigold and cempasúchil border, papel picado bunting, festival-bright palette",style
Aboriginal Dot,"Aboriginal dot painting, ochre-and-white-on-rust palette, mapped songline geography, dense rhythmic dots forming dreamtime symbols",style
Inuit Print,"Inuit stonecut print, Cape Dorset style, simplified animal silhouettes on cream paper, ochre-black-and-red palette, mythic spiritual subject",style
Lowbrow Big-Eye,"lowbrow / pop surrealism, Mark Ryden big-eyed pale girl, vintage children's-book palette gone uncanny, bunny-and-meat surreal juxtaposition",style
Tattoo American Traditional,"American traditional tattoo flash, bold black outline, limited solid-color fill (red green yellow black), nautical and pinup motifs, 1940s sailor aesthetic",style
Tattoo Japanese Irezumi,"Japanese irezumi tattoo, full-body koi-and-dragon composition, wave and cloud filler, opaque flat colors with bold black outline, ukiyo-e influence",style
Tattoo Neo-Traditional,"neo-traditional tattoo, bold outline updated with rendered shading, jewel-tone palette with subtle highlight, Art Nouveau influence on the figure",style
Cel-Shaded Comic Hybrid,"cel-shaded comic illustration style, bold clean black ink line art with consistent weight, hard-edged 2-tone cel shading, no soft gradients, saturated vibrant colors, tight figure linework contrasted with painterly loose background, modern anime-meets-Western-comic aesthetic",style
Cel-Shaded Suprematism,"abstract geometric composition, Suprematism-influenced pure forms, cel-shaded illustration discipline, bold clean black ink outlines on every shape, hard-edged 2-tone cel shading on each form with no gradients, flat color planes with discrete shadow zones, saturated primary palette, modernist abstract poster aesthetic",style
Webcomic Illustrative,"modern webcomic illustration style, clean digital lineart, flat cel-shaded color, expressive cartoon proportions, mobile-friendly panel, contemporary indie sensibility",style
Children's Book,"children's book illustration, soft watercolor washes over light pencil lineart, gentle pastel palette, anthropomorphic woodland animals, warm reassuring composition",style
Beatrix Potter,"Beatrix Potter watercolor style, soft naturalistic animal anatomy in tiny garments, Lake-District flora, delicate granulating watercolor, oval vignette composition",style
Quentin Blake,"Quentin Blake scratchy ink-and-wash, jittery pen line under loose watercolor splotches, irreverent expressive figure, energetic spontaneity",style
Architectural Rendering,"architectural rendering, moody atmospheric perspective, single human figure for scale, golden-hour glazing reflecting on glass curtain wall, urban context, magazine cover finish",style
Brutalist Photography,"brutalist concrete photography, raw board-formed concrete textures, harsh midday sun shadow, monumental geometric massing, lone human silhouette",style
Isometric Architecture,"isometric architectural illustration, 30-degree axonometric projection, cutaway showing interior, candy-bright palette, exploded-diagram flat shading",style
Blueprint Drawing,"technical blueprint drawing, white linework on cyan field, dimension annotations and section markers, drafting-pen precision, engineering schematic aesthetic",style
Anatomical Engraving,"19th-century anatomical engraving plate, fine etched cross-hatched shadow, sepia ink on cream paper, didactic museum specimen layout, Latin annotations",style
Botanical Illustration,"botanical illustration, scientific watercolor specimen on white field, root and seed-pod cutaway, hand-lettered Latin name, delicate stippled shadow, Maria Sibylla Merian sensibility",style
Naval Maritime Art,"19th-century naval maritime oil painting, full-rigged ship under storm clouds, churning whitecaps, dramatic god-rays through breaking weather, museum-canvas finish",style
Hudson River School,"Hudson River School luminism, Thomas Cole panoramic American wilderness, glowing distant atmosphere, tiny pioneers under vast sky, 19th-century romantic landscape",style
Chinoiserie,"chinoiserie 18th-century European fantasy of Chinese motifs, willow and pavilion pattern on porcelain blue-white, decorative court scene, ornamental rococo wallpaper",style
Russian Icon,"Russian Orthodox icon, gold-leaf ground, hieratic frontal pose, hand-tooled halo, deep ochre-and-bone palette, devotional flatness with linear stylization",style
Byzantine Mosaic,"Byzantine mosaic, gold-leaf tesserae background, hieratic frontal saints, jewel-tone garments, stylized linear features, devotional ornament",style
Stained Glass,"stained glass cathedral window, lead-came outlines defining each color zone, jewel-tone backlit translucency, gothic biblical narrative, limestone tracery surround",style
Illuminated Manuscript,"medieval illuminated manuscript, gold-leaf initial capital with vine and grotesque marginalia, blackletter Latin script, vellum substrate, Book of Kells ornamental density",style
Pinup 1950s,"1950s pinup illustration, Gil Elvgren cheesecake girl, soft airbrushed gouache rendering, candy palette, playful wardrobe-malfunction punchline, calendar-art sensibility",style
Tiki Polynesian,"tiki retro Polynesian kitsch, carved-wood tiki god relief, bamboo and palm-frond border, sunset-orange palette, mid-century rumpus-room aesthetic",style
1970s Funk Poster,"1970s funk-soul poster illustration, swirling bubble lettering, neon orange-magenta-yellow on velvet black, afro silhouettes, blacklight-glow palette",style
Acid House Rave,"1990s acid-house rave flyer, fluorescent smiley face, smeared techno typography, neon green-magenta-orange on black, photocopier degradation",style
Art Deco Travel Poster,"Art Deco travel poster, stylized streamlined locomotive or ocean liner, geometric typography, two-color screen-print palette, 1930s grand-tour optimism",style
Soviet Constructivist Poster,"Soviet Constructivist poster, Rodchenko diagonals and red wedges, photomontage worker portrait, propagandist Cyrillic typography, collective-labor optimism",style
Polish Film Poster,"Polish film poster style, painterly surreal interpretation rather than photographic still, hand-rendered typography, jewel-tone and graphite palette, narrative metaphor over branding",style
Saul Bass Title Sequence,"Saul Bass mid-century title-design style, cut-paper silhouettes against flat color field, jagged geometric symbol of the film's theme, modernist graphic clarity",style
Push Pin Studio,"Push Pin Studios mid-century illustration, Milton Glaser psychedelic flat-color portrait, ornate flat pattern, art-nouveau-meets-pop sensibility",style
Toulouse-Lautrec Lithograph,"Toulouse-Lautrec belle-époque lithograph, flat color planes with sketchy outline, Moulin Rouge cabaret subject, hand-lettered red title, ochre-and-black palette",style
Mucha Theater Poster,"Mucha Art Nouveau theater poster, slender female figure framed by ornamental halo of stylized hair and flowers, pastel limited palette, gilded border, decorative typography",style
Saul Steinberg Line,"Saul Steinberg satirical line drawing, witty single thin pen line traveling around the figure, sparse use of grey wash, New Yorker cover sensibility",style
Edward Gorey Cross-Hatch,"Edward Gorey pen-and-ink illustration, dense uniform crosshatch shading, gloomy Edwardian children, deadpan macabre humor, monochrome neutral palette",style
Maurice Sendak,"Maurice Sendak ink-and-watercolor, fuzzy crosshatched shading, Wild Things creature anatomy, warm palette of earth and rust, tender feral mood",style
Edward Hopper,"Edward Hopper urban realism, flat afternoon light hitting a corner facade, isolated figure in a window, restrained palette of cream-ochre-and-shadow, American loneliness",style
Andrew Wyeth,"Andrew Wyeth tempera realism, dry midwest grass field, weathered farmhouse exterior, restrained earth palette, patient observation",style
Norman Rockwell,"Norman Rockwell narrative illustration, wholesome Saturday Evening Post moment, glowing warm palette, posed studio reference, gently humorous Americana",style
Soviet Socialist Realism,"Soviet Socialist Realism oil painting, monumental worker-and-soldier composition, heroic golden-hour palette, polished academic finish, ideologically optimistic",style
WPA Mural,"1930s WPA mural style, regional American workers, simplified rounded figures, rich earth palette, optimistic public-art monumentality",style
Black Velvet Painting,"black velvet painting, kitsch matador or weeping clown, deep black velvet ground that swallows shadow, vivid neon-pigment dramatic figure, mid-century roadside-stand sensibility",style
Mall Studio Photo,"1990s mall-studio family portrait, harsh on-axis flash, mottled blue gradient backdrop, awkward forced smile, garish coordinating outfits, suburban shopping-center kitsch",style
Disposable Camera,"disposable Kodak camera 1990s photo, harsh on-camera flash, red-eye, slight motion blur, oversaturated FUJI color, casual party documentation",style
Vintage Travel Postcard,"vintage 1930s travel postcard, hand-tinted black-and-white photo, candy-pastel postcard palette, scalloped border, brand-stamped tourist-spot caption",style
Polaroid Pull-Apart Manipulation,"Polaroid emulsion-lift manipulation, smeared psychedelic colors, dreamlike distortion of the original subject, instant-film artifacts, hand-altered surface",style
Long-Exposure Light Painting,"long-exposure light painting, glowing trails of colored light wrapping around a still figure, deep black background, swirling rhythmic gestures, slow-shutter cinematic atmosphere",style
Kodachrome Saturation,"Kodachrome 25 slide film, deep saturated reds and emerald greens, fine grain, slight magenta cast in shadows, midcentury National Geographic palette",style
